(pytorch_py3.10) ye@lst-hpc3090:~/exp/lnn$ head -n 30 ./predictions_nmnist_lnn.txt
REF, PRED
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
(pytorch_py3.10) ye@lst-hpc3090:~/exp/lnn$ tail -n 30 ./predictions_nmnist_lnn.txt
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
9, 9
(pytorch_py3.10) ye@lst-hpc3090:~/exp/lnn$

